rank,user,pagerank,betweenness,norm_indegree,in_degree,out_degree,composite,core_number
82,oulgen,0.00424580606962144,0.007869528457763753,0.07692307692307693,3,2,0.02713610404210078,5
83,wconstab,0.0038139299181273382,0.008046350141938378,0.07692307692307693,3,21,0.02701640008675553,5
84,etaf,0.003732300301631176,0.004254588813412343,0.07692307692307693,3,7,0.025846219841599252,4
85,drisspg,0.002083441696502712,0.05720207887654414,0.02564102564102564,1,24,0.025686308033872018,5
86,WizardlyBump17,0.005019307252113973,0.0,0.07692307692307693,3,0,0.025084645977768667,2
87,cefalix,0.004799475354148178,0.0,0.07692307692307693,3,0,0.02499671321858235,2
88,cooldome,0.0026059083761621484,0.0022496846026257775,0.07692307692307693,3,1,0.024794191808175672,4
89,chuanqi129,0.0032349487860933663,0.001330876330876331,0.07692307692307693,3,1,0.024770165490623323,3
90,stmcgovern,0.0023995350297593846,0.002384838046602753,0.07692307692307693,3,1,0.024752188502807658,3
91,mruberry,0.0038227255137197494,0.0,0.07692307692307693,3,0,0.02460601328241098,2
92,chefboyrdave21,0.003555261490895584,0.0,0.07692307692307693,3,0,0.024499027673281312,2
93,mlazos,0.0017772367238642747,0.0022898901575372165,0.07692307692307693,3,7,0.024474784813729954,4
94,cehongwang,0.0034654038902071343,0.0,0.07692307692307693,3,0,0.024463084633005932,2
95,tianrengao,0.002452157096644235,0.0013434796523031818,0.07692307692307693,3,1,0.024460829811271727,2
96,thiagocrepaldi,0.003320455807287086,0.0,0.07692307692307693,3,0,0.024405105399837913,2
97,crcrpar,0.0020690524354593535,0.0015296044707809415,0.07692307692307693,3,1,0.0243634253923411,3
98,howardzhang-cv,0.0019646916280951806,0.0015597147950089127,0.07692307692307693,3,1,0.024330714166663825,3
99,leveretconey,0.0031160402885760815,0.0,0.07692307692307693,3,0,0.02432333919235351,2
100,gaborv,0.002876640691479529,0.0,0.07692307692307693,3,0,0.02422757935351489,2
101,PhilCuriosity,0.0028663556873472474,0.0,0.07692307692307693,3,0,0.024223465351861977,2
102,yanboliang,0.0021506147692970812,0.0008792214674567616,0.07692307692307693,3,1,0.024200935424878937,3
103,shuhuayu,0.002796262524312615,0.0,0.07692307692307693,3,0,0.024195428086648124,3
104,Thrsu,0.0027349147608748976,0.0,0.07692307692307693,3,0,0.024170888981273037,2
105,niyunsheng,0.0026926740123177305,0.0,0.07692307692307693,3,0,0.02415399268185017,2
106,lw,0.002629724846437703,0.0,0.07692307692307693,3,0,0.02412881301549816,3
107,Peterc3-dev,0.0025325787753700656,0.0,0.07692307692307693,3,0,0.024089954587071104,2
108,benediktjohannes,0.0018097683185728287,0.0009023060493648728,0.07692307692307693,3,2,0.024071522219161673,3
109,solidfox,0.002420680874948137,0.0,0.07692307692307693,3,0,0.02404519542690233,2
110,BenjaminBossan,0.0023862417250820186,0.0,0.07692307692307693,3,0,0.024031419766955886,3
111,dlibk,0.002302364741333257,0.0,0.07692307692307693,3,0,0.02399786897345638,3
112,azizketata,0.0022335443073801474,0.0,0.07692307692307693,3,0,0.023970340799875138,3
113,skmhrk1209,0.0022221005048524214,0.0,0.07692307692307693,3,0,0.023965763278864047,3
114,Cookiee235,0.0020669415930047335,0.0,0.07692307692307693,3,0,0.02390369971412497,3
115,KnightGOKU,0.002033803972008748,0.0,0.07692307692307693,3,0,0.02389044466572658,3
116,tomasruizt,0.0018931526922344479,0.00013850749144866793,0.07692307692307693,3,1,0.023875736401251457,4
117,YuanJie2001,0.0019907716415107986,0.0,0.07692307692307693,3,0,0.023873231733527397,3
118,fynnsu,0.0019499536506082658,0.0,0.07692307692307693,3,0,0.023856904537166386,3
119,Yozer,0.001934818844891835,0.0,0.07692307692307693,3,0,0.023850850614879814,3
120,egaznep,0.0018855322735074492,0.0,0.07692307692307693,3,0,0.02383113598632606,3
121,tomyuv,0.0018412170101035949,0.0,0.07692307692307693,3,0,0.023813409880964517,3
122,YagaoDirac,0.0018079660168442689,0.0,0.07692307692307693,3,0,0.023800109483660785,3
123,hassonofer,0.0018073298148546116,0.0,0.07692307692307693,3,0,0.023799855002864922,3
124,ultrmgns,0.0018027888097888925,0.0,0.07692307692307693,3,0,0.023798038600838636,3
125,alexandroskon,0.0018013842207466348,0.0,0.07692307692307693,3,0,0.02379747676522173,2
126,sssupik,0.0017555685757261077,0.0,0.07692307692307693,3,0,0.02377915050721352,3
127,FFXIVYYDS,0.0017481644648634806,0.0,0.07692307692307693,3,0,0.02377618886286847,3
128,misha1sh,0.0016672002716744182,0.0,0.07692307692307693,3,0,0.023743803185592844,3
129,xiezhipeng-git,0.0016469929938161274,0.0,0.07692307692307693,3,0,0.023735720274449527,3
130,DeLightor,0.0016380839930519903,0.0,0.07692307692307693,3,0,0.023732156674143873,3
131,shunting314,0.0020977123082976884,0.01894537594738129,0.05128205128205128,2,9,0.021907313092148845,5
132,mikaylagawarecki,0.0018490726418942361,0.007898310839487306,0.05128205128205128,2,6,0.01849373769321927,4
133,alugorey,0.003337328010869844,0.0028785469961940557,0.05128205128205128,2,1,0.01758311068782154,3
134,parsshar-RH,0.003290018604735358,0.001967559136676784,0.05128205128205128,2,5,0.01729089056751256,5
135,jet-tong,0.004747113677602467,0.0,0.05128205128205128,2,0,0.01728346085565637,2
136,BBBela,0.004136738021794439,0.0,0.05128205128205128,2,0,0.01703931059333316,2
137,yyp0,0.003875853095615852,0.0,0.05128205128205128,2,0,0.016934956622861725,2
138,uwu-420,0.0035304167647828948,0.0,0.05128205128205128,2,1,0.016796782090528543,2
139,yash-s20,0.0035304167647828948,0.0,0.05128205128205128,2,0,0.016796782090528543,2
140,johannesz-codes,0.002233016923407365,0.0013650013650013649,0.05128205128205128,2,3,0.01668732256347874,3
141,pilmokim,0.0032493079898791126,0.0,0.05128205128205128,2,0,0.01668433858056703,2
142,laithsakka,0.002102954544718996,0.0014051484639719934,0.05128205128205128,2,10,0.01664734174169458,5
143,Callidior,0.0030531091686878237,0.0,0.05128205128205128,2,0,0.016605859052090513,2
144,NikhilAPatel,0.0017469209959492251,0.0016821634468693293,0.05128205128205128,2,9,0.016588032817055873,5
145,nuri-yoo,0.0029230666692370063,0.0,0.05128205128205128,2,0,0.016553842052310187,2
146,Mr-Neutr0n,0.002889342087474116,0.0,0.05128205128205128,2,0,0.01654035221960503,2
147,bw7715,0.0028836886157963403,0.0,0.05128205128205128,2,0,0.01653809083093392,2
148,BenBrock,0.002847091242493722,0.0,0.05128205128205128,2,0,0.01652345188161287,2
149,winwinashwin,0.002806929230642803,0.0,0.05128205128205128,2,0,0.016507387076872507,2
150,egorchakov,0.0028047388626960424,0.0,0.05128205128205128,2,0,0.0165065109296938,2
151,qiqicliff,0.002793871134410828,0.0,0.05128205128205128,2,0,0.016502163838379713,1
152,Shaurya-Ag,0.002765319721600537,0.0,0.05128205128205128,2,0,0.016490743273255597,2
153,BoyuanFeng,0.0016892306120870428,0.0013818890657125952,0.05128205128205128,2,6,0.01647487434916398,5
154,oonyshch,0.0026975567250183026,0.0,0.05128205128205128,2,0,0.016463638074622707,1
155,trichmo,0.001958640628425197,0.0009519880843410257,0.05128205128205128,2,2,0.01645366806128777,3
156,randolf-scholz,0.002602455587583618,0.0,0.05128205128205128,2,0,0.016425597619648832,2
157,fadara01,0.0015898130469325193,0.001309799103916751,0.05128205128205128,2,3,0.016413480334563416,3
158,r-barnes,0.002535202233781298,0.0,0.05128205128205128,2,0,0.016398696278127903,2
159,yangw-dev,0.002361504793707981,8.129787541552248e-05,0.05128205128205128,2,2,0.016353606664723234,3
160,netanel-haber,0.0023867238583424265,0.0,0.05128205128205128,2,0,0.016339304927952353,2
161,xudongwang23,0.0023436471887162327,0.0,0.05128205128205128,2,0,0.016322074260101876,2
162,NickNak86,0.0023143475286560365,0.0,0.05128205128205128,2,0,0.016310354396077798,2
